Text_arabic,Text_english,Label
كيف يمكنني التقديم,how can i apply,Inquiry
هل يمكنك مساعدتي في عملية التسجيل,can you help me with the process to register,Inquiry
تتطلع لفتح حساب,looking to open an account,Inquiry
بدء علاقة,start a relationship,Miscellaneous
أرغب بالتسجيل,i want to register,Inquiry
اريد ان اقدم طلب,i want to apply,Inquiry
كيفية فتح حساب,how to open an account,Inquiry
تكساس,tx,Miscellaneous
غرامة,fine,Compliment
وداعا,bye,Miscellaneous
بارد,cool,Miscellaneous
إلغاء,cancel,Miscellaneous
حسنا,all right,Miscellaneous
لا,nope,Miscellaneous
لا شيئ,nothing,Miscellaneous
غير مطلوب,not required,Miscellaneous
حسنا,ok,Miscellaneous
حسنا,okay,Miscellaneous
حسنًا,okie,Miscellaneous
شكر,thanks,Compliment
شكرا جزيلا,thanks a lot,Compliment
شكرا لدعمك,thanks for your support,Compliment
شكرا لك,Thank you,Compliment
هذا جيد,that is fine,Compliment
لا,no,Miscellaneous
حسنا,allright,Miscellaneous
هذا كل شئ,that was all,Miscellaneous
شكرا,thx,Compliment
ارقد في سلام,rest in peace,Miscellaneous
إرقد بسلام,RIP,Miscellaneous
ماذا كانت مصروفاتي,what were my expenses,Inquiry
ما هي نفقات تناول الطعام الخاصة بي,what were my dining expenses,Miscellaneous
ما هي الأنشطة في حسابي,what are the activities on my account,Inquiry
عرض معاملاتي,show my transactions,Inquiry
أعطني كشف حساب,provide me an account statement,Inquiry
قائمة أسفل المعاملات الأخيرة,list down by recent transactions,Inquiry
عرض معاملاتي,view my transactions,Inquiry
هل يمكنني إلقاء نظرة على المعاملات الخاصة بي,can i have a look at my transactions,Inquiry
ماذا كانت معاملاتي,what were my transactions,Inquiry
هل يمكن أن تعطي المزيد من التفاصيل,could you give more details,Inquiry
مزيد من المعلومات,more info,Miscellaneous
حدثني عنها,tell me about it,Miscellaneous
هل يمكن أن تخبرني المزيد عنه,Could you tell me more about it,Inquiry
أيمكنك إخباري المزيد,could you tell me more,Inquiry
معلومات اكثر,more information,Miscellaneous
المزيد من التفاصيل,more details,Miscellaneous
رائع,wow,Compliment
هذا لطيف,thats nice,Compliment
هذا عظيم,that is great,Compliment
عظيم,great,Compliment
مدهش,awesome,Compliment
هذا عظيم,thats great,Compliment
هذا غبي,this is stupid,Complaint
أحتاج للتحدث إلى مشرفك,I need to talk to your supervisor,Complaint
أنا على وشك الغضب!,I'm getting mad!,Complaint
أريد التحدث إلى مديرك,I need to talk to your manager,Complaint
اكره هذا!,I hate this!,Complaint
انت غبي!,you are an idiot!,Complaint
الكل يكرهك,everyone hates you,Complaint
انت لا تعجبني,I do not like you,Complaint
أنت محبط,you are frustrating,Complaint
هل سعر الفائدة ثابت أم عائم؟,Is the Interest rate  fixed or floating?,Inquiry
لم أتلق أي رسالة تطلب مني التأكيد,I have not received any letter asking my confirmation,Complaint
إذا دفعت بعض Lumpsum amout ، فهل سيقلل EMI الخاص بي؟,"If I Pay some Lumpsum amout ,will my EMI reduce?",Inquiry
هل يمكنني اختيار مبلغ EMI الخاص بي؟,Can I select my EMI amount?,Inquiry
الكاميرا المحمولة الخاصة بي لا تعمل. ماذا أفعل؟,My mobile camera not working . What to do?,Miscellaneous
هل يمكن تحديث حالة قانون الامتثال الضريبي للحسابات الخارجية لاحقًا؟,Can FATCA status be updated later?,Inquiry
هل يمكنني الاستفادة من قرضين معتمدين مسبقًا؟,Can I avail 2 Pre-approved Loans,Inquiry
هل يمكنني إدخال رقم هاتف محمول بخلاف الرقم المستخدم لتنزيل التطبيق.,Can I enter a mobile number other than the one used for downloading the app.,Inquiry
هل يمكنني الحصول على ائتمان لمبلغ القرض في حساب بخلاف ما هو مذكور على الشاشة,Can I get credit of loan amount in Account other than mentioned on the  screen,Inquiry
لماذا لا يمكنني اختيار مدة القرض أقل من 6 أشهر؟,Why I am not able to select loan tenure below 6 month?,Inquiry
لماذا لا يمكنني تحديد مبلغ القرض أقل من 25000؟,Why I am not able to select loan amount below 25000?,Inquiry
ما هو الفرع الذي يجب أن أذهب إليه لتوقيع المستندات؟,Which Branch do I have to go for signing the documents?,Inquiry
ماذا لو كنت أرغب في الحصول على قرض بمبلغ أعلى ومدة أطول؟,What if I want loan for higher amount and longer duration?,Inquiry
ماذا يحدث إذا كان هناك خطأ إملائي في اسمي مطبوعًا على بطاقة Adhaar؟,What happens if there is a spelling mistake in my name printed on Adhaar card?,Inquiry
لم اجد,i could not find,Complaint
بحاجة إلى حظر بطاقتي,need to block my card,Inquiry
سرقت بطاقتي,my card is stolen,Inquiry
فقدت بطاقتي,lost my card,Inquiry
فقدت البطاقة,card is lost,Inquiry
هل يمكنك حجب بطاقتي,could you block my card,Inquiry
تجميد بطاقتي,freeze my card,Inquiry
فقدان بطاقتي,loss of my card,Inquiry
تحويل أموال P2P,P2P fund transfer,Inquiry
تحويل الأموال,fund transfer,Inquiry
تريد تحويل الأموال,want to transfer money,Inquiry
أريد تحويل أموال,I want to transfer funds,Inquiry
هههههه,hahahah,Miscellaneous
تعال الى هنا,come here,Miscellaneous
ccc,ccc,Miscellaneous
هل أنت أحمق,are you a fool,Miscellaneous
حاشا,hashaha,Miscellaneous
أجشهدس,ajshajhds,Miscellaneous
مدخرات,savings,Miscellaneous
إنه سيء,it is bad,Miscellaneous
هي السماء الزرقاء,is the sky blue,Miscellaneous
هاهاهاها,hahahaha,Miscellaneous
هذا أحمر,this is red,Miscellaneous
sdjhsjd,sdjhsjd,Miscellaneous
جاموس,buffal,Miscellaneous
هل انت مجنون,are you mad,Complaint
أين الفروع في مومباي,where are the branches in mumbai,Inquiry
أريد زيارة أقرب فرع,i want to visit the nearest branch,Inquiry
هل يوجد فرع في كوتشين,is there a branch in cochin,Inquiry
تفاصيل الفرع في الهند,branch details in India,Inquiry
مساعدتي مع الفروع في انديري,help me with branches in andheri,Inquiry
ما هي الفروع في الولايات المتحدة؟,which are the branches in US?,Inquiry
هل لدينا فرع في نيويورك؟,Do we have a branch in new york?,Inquiry
هل هناك فروع خارج الهند,are there branches outside India,Inquiry
هل يمكن أن تعطيني عنوان الفرع في Andheri,could you give me the branch address at Andheri,Inquiry
أحتاج إلى بطاقة ائتمان,I need a credit card,Inquiry
أحتاج إلى دفتر شيكات,I need a cheque book,Inquiry
أحتاج لقرض من فضلك,I need a loan please,Inquiry
من فضلك قل لي عن القرض,Please tell me about loan,Inquiry
مطلوب بطاقة ائتمان,Credit card required,Inquiry
مطلوب بطاقة خصم,Debit card required,Inquiry
لا أحتاج إلى بطاقة ائتمان,I do not need a credit card,Inquiry
مرحبًا ، أنا مهتم بـ SHZP ، هل يمكنك مراسلتي بالتفاصيل الخاصة به. شكر,"Hi,  I'm interested in SHZP , can you mail me the details for it.  Thanks",Inquiry
اختبار 445645482354678235,test445645482354678235,Miscellaneous
أحتاج إلى قرض سيارة,I need a car loan,Inquiry
أحتاج لقرض منزل,I need a home loan,Inquiry
أحتاج لوا الشخصية,I need a personal loa,Inquiry
أحتاج إلى قرض تجاري,I need a business loan,Inquiry
أحتاج إلى بعض القروض,I need some loan,Inquiry
أحتاج إلى قرض دراجة,I need bike loan,Inquiry
أحتاج قرض قرض قرض !!!!!!!!!!!!!!!!!!!!!,I need loan loan loan !!!!!!!!!!!!!!!!!!!!!,Inquiry
أطلب قرضًا شخصيًا,I require a personal loan,Inquiry
مطلوب القرض: 971685698569,loan required  Contact : 971685698569,Inquiry
مرحبًا ، أحتاج إلى تفاصيل لبرنامج SHZP. هل يمكنك أن تزودني بالتفاصيل عن نفسه؟ هنا رقم الاتصال الخاص بي - 97142253620 شكرا,"Hi,  I need details for the SHZP programme. Can you provide me the details for the same. Here is my contact number-97142253620  Thanks",Inquiry
مرحباً أريد أن أعرف عن خطط القرض وإجراءاتها: 971123456878,Hi  I need to know the about the loan plans and their procedures Contact : 971123456878,Inquiry
أحتاج إلى قرض مؤقت. رقم هاتفي - 971567890123 شكرا,I need a temporary loan.  My phone number - 971567890123  Thanks,Inquiry
أحتاج إلى قرض آخر. اتصال - 971567890123 شكرا,I need another loan. Contact - 971567890123  Thanks,Inquiry
من فضلك قل لي عن قرض على رقمي: 971586896589,Please tell me about loan on my number:  971586896589,Inquiry
مرحبا القرض المطلوب الاتصال: 598789747498120,Hi loan required  Contact : 598789747498120,Inquiry
مرحبًا ، أحتاج إلى تفاصيل المعاملة. يرجى ارسال التفاصيل لي. رقم الاتصال 971236547896. شكر,"Hi ,  I need the transaction details. Kindly send me the details. contact number-971236547896.  Thanks",Inquiry
أحتاج إلى بيان معاملة عام كامل. شكر,I need a complete year transaction statement.  Thanks,Inquiry
مرحبا cbfewgbfuy3wgfu cjhwbcugfuiehdkje ndhjwvfuywergbfwe 97159595959595959595959595595955,Hi  cbfewgbfuy3wgfu cjhwbcugfuiehdkje ndhjwvfuywergbfwe 97159595959595959595959595595955,Miscellaneous
حاولت الاتصال بـ edb منذ فترة طويلة أردت التقدم بطلب للحصول على القرض ، اتصل بي على 0512345678,I tried to contact edb since long i wanted to apply for the loan contact me on  0512345678,Inquiry
مرحبًا ، لقد فقدت بطاقتي الائتمانية وأريد حظر هذه البطاقة وأريد تجديد بطاقة جديدة في أقرب وقت ممكن. هل يمكنك مساعدتي في ذلك من فضلك. رقم الاتصال هو -971501304735 شكرا,"Hi,  I have lost my credit card and i want to block this one and want to renew a new one as soon as possible. Can you please help me with that. Contact number is -971501304735  thanks",Inquiry
مرحباً ، أخبرني عن جميع معاملاتي: 9710585685965,Hi Tell me about my all transactions  Contact : 9710585685965,Inquiry
مرحبًا ، أود أن أشكركم على حل استفساري بسرعة. خدماتك مذهلة للغاية. وأنا أقدر جهودك. شكر,Hi I want to thankyou for resolving my query so quickly. Your services are very amazing. I appreciate your efforts. Thanks,Compliment
أحتاج إلى تحديث تفاصيل الحساب مرحبًا ، أحتاج إلى تغيير تفاصيل العنوان لمعلومات حسابي. Plese مساعدتي في ذلك. شكر,"Need to update the account details  Hi ,  I need to change the address details for my account information. Plese help me with that.  Thanks",Inquiry
مرحباً أخبر شركة التأمين بالإضافة إلى خطط التوفير: 971658956895,Hi   Tell the insurance plus saving plans  Contact : 971658956895,Inquiry
شكرا لأنني حصلت على قرض في 10 دقائق.,Thanks as i got loan in 10 mins.,Compliment
مقدر جدا,Much appreciated,Compliment
مرحبًا ، أود أن أشكركم على حل استفساري بسرعة. خدماتك مذهلة للغاية. وأنا أقدر جهودك. شكر,Hi I want to thankyou for resolving my query so quickly. Your services are very amazing. I appreciate your efforts. Thanks,Compliment
مرحبا ، عظيم أن نسمع منك بسرعة. شكرا لمثل هذه الاستجابة السريعة. شكر,"Hi ,  Great to hear from you so fast. thankyou for such quick response.  thanks",Compliment
مرحبا ، تم توفير صفقات كبيرة من قبل البنك الخاص بك. شكر,"Hi,  Great deals were provided by your bank. Thanks",Compliment
أنا مهتم ببرنامج SHZP. أعطني تفاصيل عن نفسه. لها رقم الاتصال بي 971532145987 شكرا,I am interested in SHZP program. Give me the details for the same. her is my contact number-971532145987  thanks,Inquiry
مرحبا اخبرنا عن قروض الشركة: 971586495865,Hi  Tell about loans  COntact : 971586495865,Inquiry
مرحبًا ، أود أن أشكركم على حل استفساري بسرعة. خدماتك مذهلة للغاية. وأنا أقدر جهودك. شكر,Hi I want to thankyou for resolving my query so quickly. Your services are very amazing. I appreciate your efforts. Thanks,Compliment
مرحبا شكرا جزيلا ب,Hi    Thank you so much b,Compliment
أكره خدماتك. أنت بحاجة إلى تحسينها.,hate your services. you need to improve them.,Complaint
أنا حقًا محبط من الخدمات التي يخدمها الناس ، لا أريد التسجيل في أي خدمات الآن مع EDB ، إنه أمر محبط للغاية للتعبير عن هذا الخطأ الكبير من جانب EDB,I really frustrated with the services you people serve  I dont want to be enroll in any services now onwards with EDB its very depressing to express this much of fault from EDB side,Complaint
971536214789 يوم الجمعة 20 ديسمبر 2019 الساعة 4:16 مساءً Sunita Mandal <sunita.mandal701@gmail.com> كتب:> بالتأكيد ، ها هو -032102521032510220>> يوم الجمعة 20 ديسمبر 2019 الساعة 4:15 مساءً <digitalsensingbank @ gmail.com> كتب:> >> مرحبًا >> >> يرجى مشاركة رقم هاتفك المحمول لأغراض التتبع. >> >> مع أطيب التحيات >> >> مصرف الإمارات للتنمية >>>,"971536214789  On Fri, Dec 20, 2019 at 4:16 PM Sunita Mandal <sunita.mandal701@gmail.com> wrote:  > Sure, here it is-032102521032510220 > > On Fri, Dec 20, 2019 at 4:15 PM <digitalsensingbank@gmail.com> wrote: > >> Hello, >> >> Please share your mobile number for tracking purposes. >> >> Kind regards, >> >> Emirates Development Bank >> >",Miscellaneous
شوبهيت كومار 9878074670,Shobhit Kumar 9878074670,Miscellaneous
هايي 898098908889898989898989,Hiiii         898098908889898989898989,Miscellaneous
مرحبا خدماتكم مثيرة للشفقة ولا أريد أن يكون لدي أي اتصال مع edb nowonwards شكرا 971512345678,Hi your services are pathetic and i dont want to have any connnection with edb nowonwards     Thanks 971512345678,Complaint
مرحبا أنا بحاجة إلى تفاصيل دفتر الحساب الخاص بي رقم حسابي هو: 9715960000 الاتصال: 0589895623 أريد أيضًا من تاريخ 15/12/2019 إلى 23/12/2019 أيضًا يرجى تقديم تفاصيل سياسة التأمين رقم الوثيقة: 5898989897 r2,HI  I need my passbook details  my account number is : 9715960000 Contact : 0589895623 Also i want from Date 15/12/2019 to 23/12/2019  Also please provide me insurance policy details  Policy number: 5898989897    r2,Inquiry
---------- الرسالة المعاد توجيهها --------- من: Sunita Mandal <sunita.mandal701@gmail.com> التاريخ: الاثنين 23 ديسمبر 2019 الساعة 2:42 مساءً الموضوع: إلى : <digitalsensingbank@gmail.com> ؟؟؟؟؟ ؟؟؟ ؟؟؟؟؟؟ ؟؟؟؟؟ ؟؟ ؟؟؟ ؟؟؟؟؟؟ ؟؟؟ ؟؟؟ ؟؟؟؟؟؟ ؟؟ ؟؟؟ 2019. ؟؟؟؟؟ ؟؟؟ ؟؟؟؟؟؟؟ - 9,"---------- Forwarded message --------- From: Sunita Mandal <sunita.mandal701@gmail.com> Date: Mon, Dec 23, 2019 at 2:42 PM Subject: To: <digitalsensingbank@gmail.com>   ????? ??? ?????? ????? ?? ??? ?????? ??? ??? ?????? ?? ??? 2019. ????? ??? ??????? - 9",Miscellaneous
مهلا ، رقم الحساب: 25522222236 رقم الاتصال: 05685959685 فحص بوليصة التأمين,"Hey,  Account number: 25522222236 Contact number: 05685959685 Insurance policy check",Inquiry
مرحبا سياسة رقم 000000002 الاتصال 0585858588,Hi   Policy number 000000002 contact 0585858588,Miscellaneous
أحتاج لقرض منزل,I need a home loan,Inquiry
انا بحاجة الى قروض,i need loans,Inquiry
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
أحتاج لقرض منزل,I need a home loan,Inquiry
من فضلك قل لي تفاصيل قرضي التي استفدت منها الأسبوع الماضي,Please tell me my loan details which i have availed last week,Inquiry
؟؟؟؟؟؟؟؟؟؟؟؟؟؟,??????????????,Miscellaneous
انا بحاجة الى قروض,i need loans,Inquiry
يا حاجة قرض السيارة والبيت,Hey need Car and Home Loan,Inquiry
مرحبا ... تحتاج قرض المنزل ...,Hi...Need Home Loan...,Inquiry
مرحبا مارك ، هل يمكن أن تخبرني عن قرض الإسكان في أبو ظبي. رقم الاتصال الخاص بي هو 586214753. شكرا,"Hi Mark, Can you tell me about abu dabi housing loan. My contact number is 586214753. Thanks",Inquiry
لا أحب خدماتك. تحتاج إلى تحسين,I don't like your services. You need to improve,Complaint
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
مرحبا,hi,Miscellaneous
؟؟؟,???,Miscellaneous
مهلا,hey,Miscellaneous
هل يمكنك مساعدتي في برنامج SHZP.,can you help me with the SHZP program.,Inquiry
مهلا ، هل يمكن أن تخبرني عن عملية الاستفادة من قرض المنزل؟,"Hey, can you let me know the process of availing Home Loan?",Inquiry
مرحبا,hello,Miscellaneous
ساعدني من فضلك,help me please,Inquiry
helllllllllllllllllllllllooooooooooooo,helllllllllllllllllllllllooooooooooooo,Miscellaneous
hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii الثاني,hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,Miscellaneous
أنا لا أعلم أنني بحاجة إلى قرض,I dont knw i need a loan,Complaint
بحاجة إلى بطاقة ائتمان. هل يمكنك أن تزودني بالخطوات للتقدم للحصول على نفس.,Need a credit card. Can you provide me the steps to apply for the same.,Inquiry
1.23599E + 17,1.24E+17,Miscellaneous
منشور جميل,Nice post,Miscellaneous
مرحبا انا بحاجة الى قرض,Hi I need loan,Inquiry
اختبار 1,test1,Miscellaneous
أحتاج هذا,I need this,Inquiry
أحتاج هذا,I need this,Inquiry
مرحبًا مشرف ، عمل رائع.,"Hey Admin, Great work.",Compliment
أحتاج هذا,I need this,Miscellaneous
lalallalallalalaala,lalallalallalala,Miscellaneous
الخدمات سيئة حقا. أحتاج إلى شخص للنظر في مشاكلي في أسرع وقت ممكن.,services are really bad. I need someone to look upon my issues asap.,Complaint
أعطني تفاصيل حول خطاب guarntee,Give me details about letter of guarntee,Inquiry
أحتاج لقرض منزل,I need a home loan,Inquiry
Hiiiiiiiiii,Hiiiiiiiiii,Miscellaneous
أحتاج لقرض منزل,I need a home loan,Inquiry
أعطني تفاصيل حول خطاب guarntee,Give me details about letter of guarntee,Inquiry
شكرا لك كثيرا على الاستجابة السريعة!! مقدر جدا,Thank you so much for the quick response!! Much appreciated,Compliment
متفق عليه ، عمل مدهش,"Agreed, Amazing work",Compliment
شكرا للإستجابة!! أبقه مرتفعا,Thanks for the response!! Keep it up,Compliment
أحتاج إلى قرض لتمويل الأعمال,I need a business finance loan,Inquiry
ما هو SHZP؟,what is SHZP?,Inquiry
اريد ان اعرف عن اي خطة اسكان دابي,I want to know about Any dabi housing plan,Inquiry
971575345817,971575345817,Miscellaneous
مرحبًا ،,"Heyyyyyyy,",Miscellaneous
heuwefhkje,heuwefhkje,Miscellaneous
قدم تفاصيل القرض,Provide the loan details,Inquiry
قروض لونا,loanloans lona,Miscellaneous
مرحبا لدي مشكلة مع خدمات القروض لبنك EDB,hello I have issue with loan services of EDB bank,Complaint
مطلوب قرض قرض,loan loan required,Inquiry
مطلوب قرض عاجل,loan required urgent,Inquiry
كنت أحاول أن أعرف عن القروض منذ أيام .. من فضلكم أعلموا ذلك الآن !!!,I was trying to know about the loans since days ..please lmme know about that now!!!,Complaint
مرحبا؟,hey there?,Miscellaneous
ياي,Yay,Miscellaneous
1 1 عن القروض,1 1 about loans,Complaint
971542321000,971542321000,Miscellaneous
أنا مهتم بقرض الشيخ زايد السكني. أرسل لي التفاصيل.,I'm interested in sheikh zayad housing loan. send me the details.,Inquiry
مساعدتي في الشارقة DH,help me with sharjah DH,Inquiry
بحاجة إلى معرفة خطط التأمين,need to know about Insurance plans,Inquiry
بحاجة إلى قرض. ما هي جميع الخطوات للتقدم بطلب للحصول عليها,Need a loan. what all are steps to apply for it,Inquiry
أخبرني المزيد عن المنتجات؟,tell me more about the products?,Inquiry
مرحبا انا بحاجة الى قرض. رقم هاتفي - 971156081819,hi I need a loan. my number is - 971156081819,Inquiry
خدمات جيدة جدا. شكرا لك البنك,Very Good services. Thank you Bank,Compliment
مساعدتي في الوثائق المطلوبة للإعارة. رقم هاتفي هو 971156081819,help me with the documents which are required for loan. My number is 971156081819,Inquiry
يشتكي يشتكي يشتكي يشتكي يشتكي يشتكي للتأمين يشتكي يشتكي يشتكي يشتكي للتظلم يشتكي يشتكي يشتكي يشتكي يشتكي للتأمين يشتكي يشتكي يشتكي يشتكي يشتكي للتأمين يشتكي يشتكي يشتكي يشتكي يشتكي للتأمين يشتكي يشتكي يشتكي يشتكي,complaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurancecomplaining complaining complaining complaining complaining complaining for insurance,Complaint
Lalalalalalalalalalalalallala,Lalalalalalalalalalalallala,Miscellaneous
القرض المطلوب,Required Loan,Inquiry
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
اختبار اختبار اختبار اختبار اختبار,Test test test test test,Miscellaneous
كنت أحاول أن أعرف عن القروض منذ أيام .. من فضلكم أعلموا ذلك الآن !!!,I was trying to know about the loans since days ..please lmme know about that now!!!,Complaint
قروض لونا,loanloans lona,Miscellaneous
؟؟؟؟؟؟؟؟؟؟؟؟؟؟,??????????????,Miscellaneous
1 1 عن القروض,1 1 about loans,Complaint
مرحبا لدي مشكلة مع خدمات القروض لبنك EDB,hello I have issue with loan services of EDB bank,Complaint
؟؟؟؟ ؟؟؟ ؟؟؟؟؟ ؟؟؟؟؟. ؟؟؟؟؟ ؟؟؟ ؟؟؟؟؟ ؟؟؟. ؟؟؟ ؟؟؟؟؟؟؟ ؟؟ 971142493783,???? ??? ????? ?????. ????? ??? ????? ???. ??? ??????? ?? 971142493783,Miscellaneous
خدمات جيدة جدا. شكرا لك البنك,Very Good services. Thank you Bank,Compliment
مهلا,hey,Miscellaneous
heuwefhkje,heuwefhkje,Miscellaneous
مرحبا؟,hey there?,Miscellaneous
ياي,Yay,Miscellaneous
971542321000,971542321000,Miscellaneous
مهلا,hey,Miscellaneous
اتصل برقم 971532146548,contact -971532146548,Miscellaneous
971521441796,971521441796,Miscellaneous
أحتاج هذا,I need this,Miscellaneous
مرحبًا مشرف ، عمل رائع.,"Hey Admin, Great work.",Compliment
lalallalallalalaala,lalallalallalala,Miscellaneous
الخدمات سيئة حقا. أحتاج إلى شخص للنظر في مشاكلي في أسرع وقت ممكن.,services are really bad. I need someone to look upon my issues asap.,Complaint
شكرا لك كثيرا على الاستجابة السريعة!! مقدر جدا,Thank you so much for the quick response!! Much appreciated,Compliment
ewfdwef,ewfdwef,Miscellaneous
Hiiiiiiiiii,Hiiiiiiiiii,Miscellaneous
مهلا,hey,Miscellaneous
؟؟؟,???,Miscellaneous
مرحبا,hi,Miscellaneous
اختبار 1,test1,Miscellaneous
منشور جميل,Nice post,Miscellaneous
1.23599E + 17,1.24E+17,Miscellaneous
أنا لا أعلم أنني بحاجة إلى قرض,I dont knw i need a loan,Complaint
hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii الثاني,hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,Miscellaneous
helllllllllllllllllllllllooooooooooooo,helllllllllllllllllllllllooooooooooooo,Miscellaneous
مرحبا,hello,Miscellaneous
مهلا,hey,Miscellaneous
مهلا,hey,Miscellaneous
ewfdwef,ewfdwef,Miscellaneous
971542165421,971542165421,Miscellaneous
fniwfbwuiefjsd v679812e,fniwfbwuiefjsd v679812e,Miscellaneous
شكرا لهذا القرار السريع.,thankyou for such fast resolution.,Compliment
العمل العظيم المنجز,great work done,Compliment
لاللالاللال,lalallalalal,Miscellaneous
أنتهيت,your done,Miscellaneous
توقف عن التعليق الآن. انتهت صلاحية هذا العرض. سيأتي مع عروض جديدة مثيرة قريبا. حتى الآن ب- وداعا,Stop commenting now. This offer has expired. Will come up with new exciting offers soon. Till now B- Bye,Miscellaneous
971521478963,971521478963,Miscellaneous
532101789,532101789,Miscellaneous
لا اريد قرضا سكنيا. توقف عن ارسال رسائل بريدية لنفسها.,I do not want a home loan. Stop sending me mails for the same.,Complaint
مرحبا أريد أن أعرف عن القروض,Hello i need to know about the loans,Inquiry
شكرا لخدماتك,thank you for your services,Compliment
هل يمكنك مساعدتي في عملية القرض,can you help me with the loan process,Inquiry
هل يمكنك مساعدتي في عملية القرض,can you help me with the loan process,Inquiry
أنا مهتم بقرض الشيخ زايد السكني. أرسل لي التفاصيل.,I'm interested in sheikh zayad housing loan. send me the details.,Inquiry
مساعدتي في الشارقة DH,help me with sharjah DH,Inquiry
بحاجة إلى قرض. ما هي جميع الخطوات للتقدم بطلب للحصول عليها,Need a loan. what all are steps to apply for it,Inquiry
مساعدتي في الوثائق المطلوبة للإعارة. رقم هاتفي هو 971156081819,help me with the documents which are required for loan. My number is 971156081819,Inquiry
خدمات جيدة جدا. شكرا لك البنك,Very Good services. Thank you Bank,Compliment
مهلا,hey,Miscellaneous
بحاجة إلى معلومات عن جميع المستندات المطلوبة لتقديم طلب للحصول على قرض سكني,need information what all required documents to apply for housing loan,Inquiry
العمل العظيم المنجز,great work done,Compliment
لاللالاللال,lalallalalal,Miscellaneous
توقف عن التعليق الآن. انتهت صلاحية هذا العرض. سيأتي مع عروض جديدة مثيرة قريبا. حتى الآن ب- وداعا,Stop commenting now. This offer has expired. Will come up with new exciting offers soon. Till now B- Bye,Complaint
ما هو SHZP؟,what is SHZP?,Inquiry
heuwefhkje,heuwefhkje,Miscellaneous
مرحبا؟,hey there?,Miscellaneous
ياي,Yay,Miscellaneous
مرحبا انا بحاجة الى قرض. رقم هاتفي - 971156081819,hi I need a loan. my number is - 971156081819,Inquiry
مهلا,hey,Miscellaneous
أحتاج هذا,I need this,Miscellaneous
مرحبًا مشرف ، عمل رائع.,"Hey Admin, Great work.",Compliment
lalallalallalalaala,lalallalallalala,Miscellaneous
الخدمات سيئة حقا. أحتاج إلى شخص للنظر في مشاكلي في أسرع وقت ممكن.,services are really bad. I need someone to look upon my issues asap.,Complaint
أعطني تفاصيل حول خطاب guarntee,Give me details about letter of guarntee,Inquiry
أحتاج لقرض منزل,I need a home loan,Inquiry
شكرا لك كثيرا على الاستجابة السريعة!! مقدر جدا,Thank you so much for the quick response!! Much appreciated,Compliment
أحتاج إلى قرض لتمويل الأعمال,I need a business finance loan,Inquiry
ewfdwef,ewfdwef,Miscellaneous
أنتهيت,your done,Miscellaneous
مرحبا ... تحتاج قرض المنزل ...,Hi...Need Home Loan...,Inquiry
يا حاجة قرض السيارة والبيت,Hey need Car and Home Loan,Inquiry
مرحبا مارك ، هل يمكن أن تخبرني عن قرض الإسكان في أبو ظبي. رقم الاتصال الخاص بي هو 586214753. شكرا,"Hi Mark, Can you tell me about abu dabi housing loan. My contact number is 586214753. Thanks",Inquiry
Hiiiiiiiiii,Hiiiiiiiiii,Miscellaneous
مهلا ، هل يمكن أن تخبرني عن عملية الاستفادة من قرض المنزل؟,"Hey, can you let me know the process of availing Home Loan?",Inquiry
هل يمكنك مساعدتي في برنامج SHZP.,can you help me with the SHZP program.,Inquiry
مهلا,hey,Miscellaneous
مرحبا,hi,Miscellaneous
اختبار 1,test1,Miscellaneous
مرحبا انا بحاجة الى قرض,Hi I need loan,Inquiry
منشور جميل,Nice post,Miscellaneous
1.23599E + 17,1.24E+17,Miscellaneous
بحاجة إلى بطاقة ائتمان. هل يمكنك أن تزودني بالخطوات للتقدم للحصول على نفس.,Need a credit card. Can you provide me the steps to apply for the same.,Inquiry
أنا لا أعلم أنني بحاجة إلى قرض,I dont knw i need a loan,Complaint
hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii الثاني,hiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,Miscellaneous
